RR2o,U043JK50F1U,How are you today? :woozy_face:,2
ntL,U043JK50F1U,How well supported do you feel at work? :face_with_thermometer:,2
qwKw,U043JK50F1U,How diverse and inclusive do you feel the company is? :stuck_out_tongue_winking_eye:,3
s/o,U043JK50F1U,How satisfied are you with the company's leadership? :disguised_face:,4
ij5Y,U043JK50F1U,How connected to your co-workers do you feel? :smiling_face_with_3_hearts:,5
RR2o,U0443S95K9P,How are you today? :woozy_face:,1
ntL,U0443S95K9P,How well supported do you feel at work? :face_with_thermometer:,2
qwKw,U0443S95K9P,How diverse and inclusive do you feel the company is? :stuck_out_tongue_winking_eye:,3
s/o,U0443S95K9P,How satisfied are you with the company's leadership? :disguised_face:,4
ij5Y,U0443S95K9P,How connected to your co-workers do you feel? :smiling_face_with_3_hearts:,5
RR2o,U0443S95K9Q,How are you today? :woozy_face:,5
ntL,U0443S95K9Q,How well supported do you feel at work? :face_with_thermometer:,3
qwKw,U0443S95K9Q,How diverse and inclusive do you feel the company is? :stuck_out_tongue_winking_eye:,4
s/o,U0443S95K9Q,How satisfied are you with the company's leadership? :disguised_face:,3
ij5Y,U0443S95K9Q,How connected to your co-workers do you feel? :smiling_face_with_3_hearts:,2
RR2o,U0443S95K9R,How are you today? :woozy_face:,4
ntL,U0443S95K9R,How well supported do you feel at work? :face_with_thermometer:,4
qwKw,U0443S95K9R,How diverse and inclusive do you feel the company is? :stuck_out_tongue_winking_eye:,5
s/o,U0443S95K9R,How satisfied are you with the company's leadership? :disguised_face:,2
ij5Y,U0443S95K9R,How connected to your co-workers do you feel? :smiling_face_with_3_hearts:,3
RR2o,U0443S95K9S,How are you today? :woozy_face:,5
ntL,U0443S95K9S,How well supported do you feel at work? :face_with_thermometer:,2
qwKw,U0443S95K9S,How diverse and inclusive do you feel the company is? :stuck_out_tongue_winking_eye:,3
s/o,U0443S95K9S,How satisfied are you with the company's leadership? :disguised_face:,5
ij5Y,U0443S95K9S,How connected to your co-workers do you feel? :smiling_face_with_3_hearts:,4
RR2o,U0443S95K9T,How are you today? :woozy_face:,4
ntL,U0443S95K9T,How well supported do you feel at work? :face_with_thermometer:,2
qwKw,U0443S95K9T,How diverse and inclusive do you feel the company is? :stuck_out_tongue_winking_eye:,4
s/o,U0443S95K9T,How satisfied are you with the company's leadership? :disguised_face:,4
ij5Y,U0443S95K9T,How connected to your co-workers do you feel? :smiling_face_with_3_hearts:,5
RR2o,U0443S95K9U,How are you today? :woozy_face:,2
ntL,U0443S95K9U,How well supported do you feel at work? :face_with_thermometer:,3
qwKw,U0443S95K9U,How diverse and inclusive do you feel the company is? :stuck_out_tongue_winking_eye:,4
s/o,U0443S95K9U,How satisfied are you with the company's leadership? :disguised_face:,2
ij5Y,U0443S95K9U,How connected to your co-workers do you feel? :smiling_face_with_3_hearts:,1
RR2o,U0443S95K9V,How are you today? :woozy_face:,4
ntL,U0443S95K9V,How well supported do you feel at work? :face_with_thermometer:,4
qwKw,U0443S95K9V,How diverse and inclusive do you feel the company is? :stuck_out_tongue_winking_eye:,4
s/o,U0443S95K9V,How satisfied are you with the company's leadership? :disguised_face:,4
ij5Y,U0443S95K9V,How connected to your co-workers do you feel? :smiling_face_with_3_hearts:,4
RR2o,U0443S95K9W,How are you today? :woozy_face:,5
ntL,U0443S95K9W,How well supported do you feel at work? :face_with_thermometer:,5
qwKw,U0443S95K9W,How diverse and inclusive do you feel the company is? :stuck_out_tongue_winking_eye:,5
s/o,U0443S95K9W,How satisfied are you with the company's leadership? :disguised_face:,5
ij5Y,U0443S95K9W,How connected to your co-workers do you feel? :smiling_face_with_3_hearts:,5
RR2o,U0443S95K9X,How are you today? :woozy_face:,3
ntL,U0443S95K9X,How well supported do you feel at work? :face_with_thermometer:,4
qwKw,U0443S95K9X,How diverse and inclusive do you feel the company is? :stuck_out_tongue_winking_eye:,3
s/o,U0443S95K9X,How satisfied are you with the company's leadership? :disguised_face:,2
ij5Y,U0443S95K9X,How connected to your co-workers do you feel? :smiling_face_with_3_hearts:,4
RR2o,U0443S95K9Y,How are you today? :woozy_face:,2
ntL,U0443S95K9Y,How well supported do you feel at work? :face_with_thermometer:,3
qwKw,U0443S95K9Y,How diverse and inclusive do you feel the company is? :stuck_out_tongue_winking_eye:,1
s/o,U0443S95K9Y,How satisfied are you with the company's leadership? :disguised_face:,2
ij5Y,U0443S95K9Y,How connected to your co-workers do you feel? :smiling_face_with_3_hearts:,3
RR2o,U0443S95K9Z,How are you today? :woozy_face:,4
ntL,U0443S95K9Z,How well supported do you feel at work? :face_with_thermometer:,2
qwKw,U0443S95K9Z,How diverse and inclusive do you feel the company is? :stuck_out_tongue_winking_eye:,2
s/o,U0443S95K9Z,How satisfied are you with the company's leadership? :disguised_face:,4
ij5Y,U0443S95K9Z,How connected to your co-workers do you feel? :smiling_face_with_3_hearts:,4
